Table:  (Million Metric Tons),,,,,,
,,,,,,
,,2008,2009,2010,2011,2012
Saint Kitts and Nevis,,0.27314,0.27004,0.25632,0.27299,0.25068
Saint Lucia,,0.43082,0.41273,0.43317,0.41898,0.41567
Saint Vincent/Grenadines,,0.22615,0.19548,0.20149,0.20064,0.26886
Suriname,,1.95248,2.05052,2.71822,2.18749,2.26822
Trinidad and Tobago,,49.55566,47.82784,52.84523,52.16596,51.26732
Turks and Caicos Islands,,0.07776,0.16529,0.19585,0.16061,0.15936
Uruguay,,8.00138,9.06087,8.18432,8.37201,7.59142
Venezuela,,161.79438,157.55979,172.23949,171.11994,184.7932
"Virgin Islands,  U.S.",,12.93401,15.21083,14.45133,13.75365,12.40965
"Virgin Islands, British",,0.11827,0.11372,0.17694,0.11756,0.16008
#Europe,,4581.14957,4279.51721,4386.99056,4348.06268,4263.25738
Albania,,4.37229,2.81575,3.79862,4.07652,3.96221
Austria,,69.99211,65.26445,70.03595,69.33971,66.67506
Belgium,,153.53279,134.71218,143.21842,140.12547,139.1389
Bosnia and Herzegovina,,21.06355,21.57786,23.00197,27.50758,25.99681
Bulgaria,,50.61403,44.73865,46.02672,52.56494,48.84771
Croatia,,21.74174,20.04659,18.96968,17.83133,20.17905
Cyprus,,9.8226,9.22531,8.91436,8.7309,8.8014
Czech Republic,,99.10063,92.09819,95.58812,94.35327,91.15491
Denmark,,51.90644,48.83244,49.58838,45.30879,40.51219
Faroe Islands,,0.6997,0.72467,0.73226,0.77233,0.75336
Finland,,53.61809,50.93984,57.28586,51.60939,46.80946
#Former Czechoslovakia,,--,--,--,--,--
#Former Serbia and Montenegro,,--,--,--,--,--
#Former Yugoslavia,,--,--,--,--,--
France,,421.56022,386.37242,385.5897,374.32358,364.53817
Germany,,812.60627,758.17828,796.95629,784.3775,788.321
#"Germany, East",,--,--,--,--,--
#"Germany, West",,--,--,--,--,--
Gibraltar,,4.55158,4.86385,8.88013,4.75354,3.94625
Greece,,106.04136,99.82669,93.54463,92.08394,87.55789
Hungary,,56.01399,51.90245,52.50846,52.17165,47.90274
Iceland,,3.71576,3.31827,3.80893,3.5902,3.50465
Ireland,,44.86961,38.9215,39.57119,36.20716,35.48918
Italy,,449.74859,407.6301,419.81124,411.56229,385.81281
Kosovo,,6.28906,7.23411,9.3391,7.55743,7.57555
Luxembourg,,11.96111,11.43675,12.1032,11.62882,11.68678
Macedonia,,8.98171,8.41201,8.00855,8.68723,8.08411
Malta,,3.17696,6.68233,8.03025,7.52033,6.56426
Montenegro,,2.15773,1.54992,2.75156,16.90526,19.71808
Netherlands,,229.52664,222.93083,234.30998,239.73916,239.60496
Norway,,40.02858,44.71699,43.57717,41.65102,41.0579
Poland,,294.69969,286.47039,304.60756,308.10411,289.45477
Portugal,,56.13857,57.10018,53.22172,53.16434,51.19574
Romania,,93.87531,81.16977,78.10375,89.48119,86.05824
Serbia,,51.56919,49.73258,49.28028,43.87622,41.37553
Slovakia,,38.30476,35.17909,36.95972,35.04475,32.08004
Slovenia,,17.42004,16.11383,16.21085,15.99411,15.87215
Spain,,354.69977,327.80082,312.58798,318.23195,312.442
Sweden,,54.71347,51.83961,56.45176,54.0432,51.07729
Switzerland,,45.26299,43.90447,45.61776,41.92415,42.96573
Turkey,,272.90035,269.06308,268.54747,294.90915,296.93193
United Kingdom,,563.87228,516.19096,529.45101,488.31018,498.87714
#Eurasia,,2534.58423,2211.98119,2466.16827,2551.37033,2671.97941
Armenia,,11.07748,10.00618,4.59601,11.49885,12.11792
Azerbaijan,,43.18015,34.08686,33.08787,32.23371,35.14012
Belarus,,66.95291,61.11662,64.11263,67.73201,67.12583
Estonia,,6.3165,5.22293,5.4734,5.53453,5.68609
#Former U.S.S.R.,,--,--,--,--,--
Georgia,,5.78545,6.53244,6.41224,5.90351,6.2578
Kazakhstan,,196.67064,172.83056,188.22808,206.85835,224.22
Kyrgyzstan,,5.83766,8.29788,7.34709,8.6589,9.2775
Latvia,,8.03126,7.92022,8.5542,8.05008,7.89709
Lithuania,,18.11897,13.38762,13.9304,15.1917,16.68922
Moldova,,7.31975,6.62063,6.66714,6.62663,9.41488
Russia,,1629.08655,1479.04443,1685.07059,1710.02862,1781.71976
Tajikistan,,6.87224,2.43447,2.53788,2.95723,2.97337
Turkmenistan,,59.81224,51.79648,58.11224,54.87094,64.97922
Ukraine,,342.4033,245.53476,277.72662,298.1361,290.3796
Uzbekistan,,127.11915,107.1491,104.31189,117.08917,123.17042
#Middle East,,1630.84828,1740.6767,1863.30803,1959.43279,2035.65203
Bahrain,,29.90655,30.20964,30.66889,30.24887,32.2002
Iran,,512.04895,562.57915,566.56347,594.46458,603.58639
Iraq,,104.16652,112.59011,115.30014,119.95218,130.74167
Israel,,68.74237,66.90525,72.53359,74.369,80.35777
Jordan,,19.29528,19.62522,20.68826,18.15282,16.85506
Kuwait,,78.09866,82.23739,85.00289,100.46187,105.68435
Lebanon,,14.65259,19.84527,18.92958,20.62933,16.44142
Oman,,43.75088,46.03566,59.01355,53.68402,62.85282
Palestinian Territories,,3.01014,2.04248,2.27343,2.58611,3.00809
Qatar,,63.50041,68.40773,77.58264,81.48292,99.16526
Saudi Arabia,,421.63629,437.68518,506.59635,551.38946,582.6702
Syria,,54.41043,61.62836,64.16208,63.19078,50.92176
United Arab Emirates,,193.94115,208.79449,218.77768,228.66591,234.0603
Yemen,,23.68806,22.09077,25.21549,20.15495,21.27855
#Africa,,1152.38261,1145.84918,1179.97238,1168.65561,1205.70337
Algeria,,106.92487,113.99082,117.79596,122.13081,133.9213
Angola,,23.08454,24.47161,29.81219,29.76215,31.61438
Benin,,3.35844,4.50767,5.06911,5.2121,4.58059
Botswana,,4.33554,4.32247,5.06081,4.66832,3.91875
Burkina Faso,,1.38475,1.70254,1.73335,1.6756,1.40597
Burundi,,0.35525,0.1994,0.19927,0.19399,0.31511
Cameroon,,7.53987,8.30876,8.55748,8.06185,6.22371
Cape Verde,,0.32451,0.37926,0.37989,0.38746,0.38569
Central African Republic,,0.33991,0.34058,0.34103,0.33923,0.43504
Chad,,0.26181,0.25406,0.25431,0.25735,0.26427
Comoros,,0.11966,0.15095,0.13028,0.14973,0.15736
Congo (Brazzaville),,5.96083,6.46333,7.26377,6.83644,6.69106
Congo (Kinshasa),,2.73074,2.63361,3.40624,2.82656,2.48087
Cote dIvoire (IvoryCoast),,6.38742,6.51809,6.47912,6.8018,6.403
Djibouti,,1.70509,1.15975,1.16137,1.39205,1.79628
Egypt,,181.29099,185.02267,186.13892,199.41975,206.29336
Equatorial Guinea,,4.68116,5.4084,5.42677,5.12289,5.61439
Eritrea,,0.7289,0.51372,0.68758,0.47479,0.73952
Ethiopia,,6.42447,6.97507,6.45187,7.1343,8.21297
Gabon,,4.67176,4.25937,4.79984,5.34958,5.43727
"Gambia, The",,0.37834,0.44356,0.48287,0.43482,0.47223
Ghana,,7.38905,7.48618,9.08403,9.2475,9.09757
Guinea,,1.34601,1.43346,1.43507,1.43187,1.38821
Guinea-Bissau,,0.46167,0.40794,0.40843,0.41853,0.46006
Kenya,,11.20102,11.7502,12.71571,13.14292,13.44644
Lesotho,,0.23982,0.23462,0.5526,0.44846,0.27013
Liberia,,0.69074,0.55232,0.53763,0.59391,0.54157
Libya,,56.78157,57.99955,67.76705,40.68417,54.6003
Madagascar,,2.81384,1.85917,1.88307,1.84041,2.88572
Malawi,,1.19386,0.96045,0.97625,0.98819,1.91025
Mali,,0.70006,0.6975,0.6989,0.74376,0.77393
Mauritania,,2.75747,1.89251,1.89437,1.60836,2.40827
Mauritius,,5.03529,4.47775,5.07744,4.87078,5.31722
Morocco,,37.25215,41.98606,47.66703,42.91892,39.34854
Mozambique,,2.37787,2.53643,2.55087,3.55343,4.78878
Namibia,,3.29535,3.30397,3.13257,3.259,3.7157
Niger,,1.29303,1.20776,1.32263,1.30835,1.4108
Nigeria,,99.15925,78.95595,79.37554,83.13075,86.39754
Reunion,,2.82325,2.9352,2.93812,2.84177,2.77301
Rwanda,,0.72452,0.7649,0.7618,0.80251,0.76927
Saint Helena,,0.01355,0.00957,0.00958,0.0151,0.01208
Sao Tome and Principe,,0.13523,0.13347,0.13512,0.13523,0.13784
Senegal,,6.08381,5.88974,6.3538,6.22447,7.13889
Seychelles,,1.0274,1.1718,1.05822,1.24344,1.3043
Sierra Leone,,1.26054,1.39873,0.6575,1.43596,1.31122
Somalia,,0.86754,0.81363,0.83739,0.75912,0.85576
South Africa,,489.96991,477.55845,478.79399,471.51566,473.16475
Sudan and South Sudan,,12.10186,18.12932,16.27519,19.4036,13.94309
Swaziland,,1.03299,0.98085,0.98107,0.97373,0.93685
Tanzania,,6.01478,6.57218,6.45844,7.10832,9.29534
Togo,,2.74497,1.32946,2.37352,1.45133,1.62959
Tunisia,,18.26525,18.79229,19.18401,20.12092,20.27262
Uganda,,1.96576,3.27832,3.39642,3.40163,2.54774
Western Sahara,,0.3146,0.2695,0.26964,0.26995,0.31605
Zambia,,2.2498,1.95342,1.99751,2.56977,3.05444
Zimbabwe,,7.80994,8.10083,8.77984,9.56224,10.11638
#Asia & Oceania,,11656.21057,12462.33965,13383.78325,14309.90416,14435.7707
Afghanistan,,1.59156,6.40949,8.13356,8.03453,8.55174
American Samoa,,0.66442,0.60258,0.60322,0.45063,0.60699
Australia,,429.61476,434.75651,431.09043,426.4553,420.63306
Bangladesh,,51.39788,55.93966,54.09136,59.20666,63.49702
Bhutan,,0.28389,0.33163,0.35028,0.35642,0.32076
Brunei,,10.61635,7.27333,8.45474,8.70558,8.67817
Burma (Myanmar),,14.84,11.90408,11.91768,12.41227,13.34096
Cambodia,,4.17976,4.08155,4.10625,4.61025,6.05478
China,,6166.56551,6816.09505,7388.50234,8126.69441,8106.43005
Cook Islands,,0.09059,0.0731,0.0732,0.07451,0.15033
Fiji,,2.34417,1.35972,1.33253,1.37185,1.54298
French Polynesia,,0.99214,1.06349,1.09766,1.07072,1.07072
Guam,,1.77352,1.07054,2.66436,2.0309,1.77476
#Hawaiian Trade Zone,,--,--,--,--,--
Hong Kong,,78.88333,89.55811,99.49079,94.30084,88.62533
India,,1448.99101,1642.93336,1714.90686,1752.67507,1830.93846
Indonesia,,370.19055,405.70127,431.09355,450.0767,456.21018
Japan,,1216.25207,1104.91381,1177.28573,1200.26896,1259.0576
Kiribati,,0.04369,0.06237,0.06243,0.05845,0.05845
"Korea, North",,69.19686,66.25519,64.62918,66.55914,67.00113
"Korea, South",,521.77008,524.43921,584.01825,650.45438,657.09293
Laos,,1.41818,1.45311,1.52556,1.53238,1.62329
Macau,,2.39395,1.79714,1.33923,1.63015,1.69382
Malaysia,,171.31692,175.33034,194.03409,195.70131,198.78527
Maldives,,0.88832,1.0618,1.06232,1.07488,1.12272
Mongolia,,7.18562,7.6687,8.22899,8.38717,11.36478
Nauru,,0.18592,0.18149,0.18158,0.16868,0.16868
Nepal,,2.95019,3.27722,3.55222,3.75749,3.63807
New Caledonia,,2.94877,2.95339,3.06679,3.17799,3.07132
New Zealand,,40.7346,37.42024,37.47725,37.65567,37.88867
Niue,,0.00544,0.00345,0.00345,0.00352,0.00352
Pakistan,,136.31363,138.83281,143.2057,141.96773,146.88905
Papua New Guinea,,4.54869,3.23463,3.28577,3.37716,3.38465
Philippines,,74.4205,69.35667,78.17173,83.26524,83.94974
Samoa,,0.1769,0.16833,0.16903,0.16153,0.16099
Singapore,,155.24037,192.37832,191.04467,205.4421,207.96039
Solomon Islands,,0.22975,0.19378,0.21658,0.21968,0.26602
Sri Lanka,,12.43936,12.87535,12.9739,14.43257,15.2347
Taiwan,,290.38297,259.55702,292.88104,311.34424,307.14694
Thailand,,255.08546,267.88466,287.26884,293.36343,290.71715
Timor-Leste (East Timor),,0.352,0.19068,0.19096,0.32616,0.49633
Tonga,,0.20155,0.18586,0.18614,0.18227,0.18884
U.S. Pacific Islands,,0.29446,0.30074,0.35338,0.29622,0.28688
Vanuatu,,0.11722,0.12478,0.12614,0.14983,0.16614
Vietnam,,104.75456,109.81473,138.04764,135.08734,131.73148
Wake Island,,1.34309,1.27036,1.28586,1.33184,1.29242
#World,,29644.60159,29435.61998,31154.83613,32154.98961,32310.28712
